Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.718194,0.38,0.0130536,-1.32279e-09,-1.3099e-09,1.39775,-4.67087,5.41969,-2.15608,-0.380423,-0.0253449,0.00799725,0.00017759,-1.28164,4.43566,-5.25302,2.11791,1.62361,-0.0780037,-0.00259845,0.000546577,-8.68191,28.9921,-33.6241,13.372,0,0,0,0,0,0,0,0
0.703831,0.4,0.0130536,5.69561e-10,5.64011e-10,1.54213,-5.25853,6.22609,-2.52743,-0.4,-3.68859e-10,0.0084088,2.06115e-10,1.61307,-5.33314,6.19513,-2.48254,1.5,-0.082018,-3.57599e-09,0.000574693,-9.54665,32.5839,-38.5991,15.6741,0,0,0,0,0,0,0,0
0.718194,0.42,0.0130536,-2.45239e-10,-2.42848e-10,1.39775,-4.67087,5.41969,-2.15608,-0.380423,0.0253449,0.00799725,-0.000177591,4.06623,-13.4526,15.514,-6.14642,1.37639,-0.0780037,0.00259846,0.00054657,-7.77714,26.0623,-30.2901,12.063,0,0,0,0,0,0,0,0
0.703831,0.44,0.0130536,1.05593e-10,1.04565e-10,1.54213,-5.25853,6.22609,-2.52743,-0.323607,0.048209,0.00680286,-0.000337798,6.91638,-23.4669,27.7,-11.2214,1.26489,-0.0663539,0.00494257,0.000464938,-6.77527,23.2262,-27.5859,11.2214,0,0,0,0,0,0,0,0
0.718194,0.46,0.0130536,-4.54662e-11,-4.50234e-11,1.39775,-4.67087,5.41969,-2.15608,-0.235114,0.0663539,0.00494257,-0.000464939,7.86094,-26.2024,30.3551,-12.063,1.17639,-0.048209,0.00680286,0.000337798,-3.90177,13.1776,-15.3863,6.14642,0,0,0,0,0,0,0,0
0.703831,0.48,0.0130536,1.95767e-11,1.93849e-11,1.54213,-5.25853,6.22609,-2.52743,-0.123607,0.0780037,0.00259846,-0.000546568,9.57787,-32.6372,38.6243,-15.6741,1.11958,-0.0253449,0.00799725,0.000177591,-1.41596,4.99686,-6.03586,2.48254,0,0,0,0,0,0,0,0
0.718194,0.5,0.0130536,-8.42923e-12,-8.34655e-12,1.39775,-4.67087,5.41969,-2.15608,-8.81993e-16,0.082018,-3.08027e-12,-0.000574696,8.65303,-28.9438,33.6017,-13.372,1.1,-9.37863e-11,0.0084088,5.24054e-11,1.46395,-4.74048,5.3945,-2.11791,0,0,0,0,0,0,0,0
0.718194,0.52,0.0130536,3.62923e-12,3.59396e-12,1.39775,-4.67087,5.41969,-2.15608,0.123607,0.0780037,-0.00259846,-0.000546568,7.77714,-26.0623,30.2901,-12.063,1.11958,0.0253449,0.00799725,-0.000177591,4.06623,-13.4526,15.514,-6.14642,0,0,0,0,0,0,0,0
0.703831,0.54,0.0130536,-1.56297e-12,-1.54852e-12,1.54213,-5.25853,6.22609,-2.52743,0.235114,0.0663539,-0.00494257,-0.000464939,6.77527,-23.2262,27.5859,-11.2214,1.17639,0.048209,0.00680286,-0.000337798,6.91638,-23.4669,27.7,-11.2214,0,0,0,0,0,0,0,0
0.703831,0.56,0.0130536,6.7306e-13,6.66203e-13,1.54213,-5.25853,6.22609,-2.52743,0.323607,0.048209,-0.00680286,-0.000337798,4.30638,-14.8377,17.676,-7.2046,1.26489,0.0663539,0.00494257,-0.000464939,8.67154,-29.4957,34.8687,-14.1398,0,0,0,0,0,0,0,0
